,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
0,713,56,30,21,1,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,55,677,52,32,1,0,3,1,2,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,22,43,675,37,11,3,6,7,7,9,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,23,39,57,509,105,16,32,22,4,7,6,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,16,18,90,372,163,36,41,37,23,6,9,8,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,12,17,54,262,177,72,84,54,31,16,23,15,4,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,4,11,45,165,124,83,121,120,44,30,41,24,4,4,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,6,6,28,109,89,56,110,156,80,54,65,34,14,7,3,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
8,6,4,12,66,65,28,88,124,141,71,96,75,9,23,4,5,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0
9,2,9,15,39,42,12,52,80,113,91,164,110,34,26,15,8,2,0,1,0,0,2,0,0,0,0,0,0,0,0,0
10,4,3,8,24,15,9,30,58,83,70,166,190,55,46,15,20,3,2,2,2,0,1,0,0,0,0,0,0,0,0,0
11,3,5,3,17,10,5,16,29,56,43,132,211,99,78,35,31,3,5,4,0,0,1,0,0,0,0,0,0,0,0,0
12,0,3,5,12,5,2,9,17,38,20,90,184,116,118,50,55,7,12,3,1,0,1,0,0,0,0,0,0,0,0,0
13,1,1,2,7,6,2,2,11,16,14,62,115,102,142,86,99,11,10,9,3,0,1,0,0,0,0,0,0,0,0,0
14,0,2,1,4,3,3,1,6,10,7,33,74,65,123,108,122,13,24,18,1,1,3,0,0,0,0,0,0,0,0,0
15,0,0,5,5,1,2,2,2,4,3,18,49,40,69,82,158,22,25,20,1,2,3,0,0,0,0,0,0,0,0,0
16,0,0,1,3,1,3,2,2,2,1,10,22,30,40,57,112,20,38,28,1,3,5,0,0,0,0,0,0,0,0,0
17,1,0,0,2,0,1,1,2,2,5,2,14,13,27,23,88,23,29,33,1,2,5,0,0,0,0,0,0,0,0,0
18,0,2,0,2,0,0,1,0,2,2,7,4,3,16,24,42,18,21,27,1,1,4,0,0,0,1,0,0,0,0,0
19,0,0,1,2,0,0,0,0,2,1,7,4,4,6,10,34,8,14,27,1,1,3,0,0,0,0,0,0,0,0,0
20,0,0,0,1,1,0,0,0,0,1,2,7,1,4,7,19,9,9,10,3,0,2,0,0,0,0,0,0,0,0,0
21,0,0,0,0,0,1,1,0,0,1,1,3,3,2,1,11,4,11,9,1,0,5,1,0,0,0,0,0,0,0,0
22,0,0,0,0,0,0,1,1,0,0,1,2,2,3,1,5,4,5,8,1,1,4,0,0,0,1,0,0,0,0,0
23,0,0,0,0,0,0,0,0,2,0,1,0,1,1,2,5,0,6,2,1,1,2,0,0,0,0,0,0,0,0,0
24,0,0,0,0,0,0,0,0,1,0,1,1,1,0,1,4,0,2,3,0,0,1,0,0,0,0,0,0,0,0,0
25,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,3,0,2,2,0,0,1,0,0,0,0,0,0,0,0,0
26,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
27,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
28,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0
29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
